date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-06-18,-4.0,금지,0.0,-2.5,-1.5,🔴 하락 → 인버스 헤지,inverse,2,0.5844215050159807,-0.5844215050159807,0.0,-1.1688430100319613
2025-06-19,-2.0,금지,1.0,-3.0,0.0,🟡 관망 — 진입 없음,,0,0.294855471789662,,0.0,
2025-06-20,4.0,매수,-1.0,5.5,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.9808638398016652,-1.929028566703798,0.0,-0.9481647269021328
2025-06-23,-0.5,관망,0.0,-1.5,1.0,🟡 관망 — 진입 없음,,0,1.548196609306884,,,
2025-06-24,6.0,강매수,1.0,4.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.7781233429215271,0.31219026589617804,1.0,-0.46593307702534903
2025-06-25,-4.0,금지,-2.0,-3.0,1.0,🔴 하락 → 인버스 헤지,inverse,2,0.002898347643368455,-0.002898347643368455,0.0,-0.00579669528673691
2025-06-26,6.5,강매수,2.0,4.0,0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,-0.05487606586967148,-0.1152149836955116,0.0,-0.06033891782584012
2025-06-27,5.0,강매수,1.0,3.0,1.0,🟢🟢 기본,"semiconductor,power_infra",5,0.5500781728718963,1.873689212985986,1.0,1.3236110401140895
2025-06-30,-3.0,금지,-2.0,-0.5,-0.5,🔴 하락 → 인버스 헤지,inverse,2,0.5840395120430232,-0.5840395120430232,0.0,-1.1680790240860464
2025-07-01,0.0,관망,1.0,-2.0,1.0,🟡 관망 — 진입 없음,,0,-0.18868914500483044,,,
2025-07-02,0.0,관망,-1.0,1.5,-0.5,🟡 관망 — 진입 없음,,0,0.8217732027909135,,,
2025-07-03,4.5,매수,1.0,3.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.19285908242729966,-0.3265699315540862,1.0,-0.5194290139813859
2025-07-04,-0.5,관망,2.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,-0.31103893254303183,,,
2025-07-07,-2.5,금지,-2.0,1.0,-1.5,🔴 하락 → 인버스 헤지,inverse,2,0.4010504972673457,-0.4010504972673457,0.0,-0.8021009945346914
2025-07-08,2.5,매수,1.0,2.0,-0.5,🟢 기본,"semiconductor,power_infra",5,0.2654944593295548,0.8045438765479844,1.0,0.5390494172184297
2025-07-09,6.0,강매수,2.0,3.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.33186870564115256,0.703933154224502,1.0,0.3720644485833494
2025-07-10,-3.0,금지,-2.0,-1.5,0.5,🔴 하락 → 인버스 헤지,inverse,2,0.0980173348028264,-0.0980173348028264,0.0,-0.1960346696056528
2025-07-11,-2.0,금지,2.0,-3.0,-1.0,🟡 관망 — 진입 없음,,0,-0.00566576419320056,,1.0,
2025-07-14,1.0,관망,2.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,-0.22516843600880332,,,
2025-07-15,-2.0,금지,-1.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,-0.24259314140767804,,1.0,
2025-07-16,-1.0,관망,1.0,-2.5,0.5,🟡 관망 — 진입 없음,,0,0.47201023153663374,,,
2025-07-17,1.5,관망,-2.0,3.0,0.5,🟡 관망 — 진입 없음,,0,0.2552995574970824,,,
2025-07-18,-1.0,관망,0.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,0.09535672043947409,,,
2025-07-21,1.5,관망,1.0,0.0,0.5,🟡 관망 — 진입 없음,,0,-0.021488079134527695,,,
2025-07-22,-3.0,금지,-2.0,-2.0,1.0,🔴 하락 → 인버스 헤지,inverse,2,0.6217771094034122,-0.6217771094034122,0.0,-1.2435542188068245
