date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-11-11,5.5,강매수,2.0,3.0,0.5,🟢🟢 + 유가↑,"oil_resource,shipbuilding",4,-0.21795774425982178,0.8561402416518088,0.0,1.0740979859116306
2025-11-12,2.5,매수,-1.0,3.0,0.5,🟢 + 금리↓,"reits,securities",5,-0.5498353588041599,-0.11658490798697718,0.0,0.4332504508171827
2025-11-13,-4.5,금지,2.0,-5.0,-1.5,🟡 관망 — 진입 없음,,0,-2.606799782238379,,1.0,
2025-11-14,-2.5,금지,-1.0,-2.0,0.5,🟡 관망 — 진입 없음,,0,1.6701690076025824,,0.0,
2025-11-17,-3.0,금지,0.0,-3.0,0.0,🟡 관망 — 진입 없음,,0,-1.09506704889344,,1.0,
2025-11-18,-5.5,패닉,-1.0,-3.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,0.32931275652975284,-0.32931275652975284,0.0,-0.6586255130595057
2025-11-19,2.0,매수,2.0,0.0,0.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,2.582000317733039,3.739546802853467,1.0,1.1575464851204282
2025-11-20,1.0,관망,2.0,2.0,-3.0,🟡 관망 — 진입 없음,,0,-2.400842581864543,,,
2025-11-21,-4.0,금지,-2.0,-1.5,-0.5,🟡 관망 — 진입 없음,,0,1.606429417866226,,0.0,
2025-11-24,2.0,매수,-1.0,3.0,0.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,2.5038623256272174,3.5429713600297807,1.0,1.0391090344025633
2025-11-25,6.0,강매수,1.0,4.5,0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.8839242584248665,0.42624455491394986,1.0,-0.4576797035109167
2025-11-26,4.5,매수,-0.5,4.0,1.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.7215544347278097,1.1505995815954775,1.0,0.4290451468676678
2025-11-27,3.5,매수,2.0,1.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.21044209434647063,0.6532978409316295,1.0,0.4428557465851588
2025-11-28,3.5,매수,1.0,1.5,1.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,1.0525629887324832,1.3205765720804226,1.0,0.26801358334793934
2025-12-01,-4.0,금지,0.0,-3.0,-1.0,🟡 관망 — 진입 없음,,0,0.47750518812123877,,0.0,
2025-12-02,1.5,관망,-2.0,3.0,0.5,🟡 관망 — 진입 없음,,0,0.38373834803916806,,,
2025-12-03,2.5,매수,2.0,0.0,0.5,🟢 기본,"semiconductor,power_infra",5,-0.43084350787546005,-0.600803229310346,0.0,-0.16995972143488597
2025-12-04,4.5,매수,0.0,4.0,0.5,🟢 기본,"semiconductor,power_infra",5,-0.12436384056338681,0.11882967897274888,0.0,0.2431935195361357
2025-12-05,2.5,매수,0.0,3.0,-0.5,🟢 기본,"semiconductor,power_infra",5,0.22439228182012844,-0.14604242454746102,1.0,-0.37043470636758946
2025-12-08,2.5,매수,2.0,0.0,0.5,🟢 기본,"semiconductor,power_infra",5,-0.6036337662133145,-1.4450770133964697,0.0,-0.8414432471831551
2025-12-09,3.0,매수,1.0,1.5,0.5,🟢 기본,"semiconductor,power_infra",5,0.3740753877862218,0.6917751724833225,1.0,0.31769978469710075
2025-12-10,4.0,매수,2.0,1.5,0.5,🟢 기본,"semiconductor,power_infra",5,0.6848808759068924,1.165905998029094,1.0,0.4810251221222016
